atlas,lobes
bankssts-lh,Temporal-lh
bankssts-rh,Temporal-rh
caudalanteriorcingulate-lh,Cingulate-lh
caudalanteriorcingulate-rh,Cingulate-rh
caudalmiddlefrontal-lh,Frontal-lh
caudalmiddlefrontal-rh,Frontal-rh
cuneus-lh,Occipital-lh
cuneus-rh,Occipital-rh
entorhinal-lh,Temporal-lh
entorhinal-rh,Temporal-rh
frontalpole-lh,Frontal-lh
frontalpole-rh,Frontal-rh
fusiform-lh,Temporal-lh
fusiform-rh,Temporal-rh
inferiorparietal-lh,Parietal-lh
inferiorparietal-rh,Parietal-rh
inferiortemporal-lh,Temporal-lh
inferiortemporal-rh,Temporal-rh
insula-lh,Parietal-lh
insula-rh,Parietal-rh
isthmuscingulate-lh,Cingulate-lh
isthmuscingulate-rh,Cingulate-rh
lateraloccipital-lh,Occipital-lh
lateraloccipital-rh,Occipital-rh
lateralorbitofrontal-lh,Frontal-lh
lateralorbitofrontal-rh,Frontal-rh
lingual-lh,Occipital-lh
lingual-rh,Occipital-rh
medialorbitofrontal-lh,Frontal-lh
medialorbitofrontal-rh,Frontal-rh
middletemporal-lh,Temporal-lh
middletemporal-rh,Temporal-rh
paracentral-lh,Frontal-lh
paracentral-rh,Frontal-rh
parahippocampal-lh,Temporal-lh
parahippocampal-rh,Temporal-rh
parsopercularis-lh,Frontal-lh
parsopercularis-rh,Frontal-rh
parsorbitalis-lh,Frontal-lh
parsorbitalis-rh,Frontal-rh
parstriangularis-lh,Frontal-lh
parstriangularis-rh,Frontal-rh
pericalcarine-lh,Occipital-lh
pericalcarine-rh,Occipital-rh
postcentral-lh,Parietal-lh
postcentral-rh,Parietal-rh
posteriorcingulate-lh,Cingulate-lh
posteriorcingulate-rh,Cingulate-rh
precentral-lh,Frontal-lh
precentral-rh,Frontal-rh
precuneus-lh,Parietal-lh
precuneus-rh,Parietal-rh
rostralanteriorcingulate-lh,Cingulate-lh
rostralanteriorcingulate-rh,Cingulate-rh
rostralmiddlefrontal-lh,Frontal-lh
rostralmiddlefrontal-rh,Frontal-rh
superiorfrontal-lh,Frontal-lh
superiorfrontal-rh,Frontal-rh
superiorparietal-lh,Parietal-lh
superiorparietal-rh,Parietal-rh
superiortemporal-lh,Temporal-lh
superiortemporal-rh,Temporal-rh
supramarginal-lh,Parietal-lh
supramarginal-rh,Parietal-rh
temporalpole-lh,Temporal-lh
temporalpole-rh,Temporal-rh
transversetemporal-lh,Temporal-lh
transversetemporal-rh,Temporal-rh
